PointName,DepthM,Qc,QcUnit,Qt,QtUnit,Fs,FsUnit,U2,U2Unit,Fr,WaterDepthM,FinalDepthM
MANUAL-CPTU-A01,0.5,1320,kPa,1342,kPa,18.5,kPa,110,kPa,1.38,18.5,12.5
MANUAL-CPTU-A01,1.0,1435,kPa,1460,kPa,20.2,kPa,125,kPa,1.38,18.5,12.5
MANUAL-CPTU-A01,1.5,1558,kPa,1586,kPa,21.9,kPa,139,kPa,1.38,18.5,12.5
MANUAL-CPTU-A01,2.0,1680,kPa,1711,kPa,23.5,kPa,154,kPa,1.37,18.5,12.5
MANUAL-CPTU-A01,2.5,1825,kPa,1859,kPa,25.2,kPa,168,kPa,1.36,18.5,12.5
MANUAL-CPTU-A01,3.0,1978,kPa,2015,kPa,27.1,kPa,183,kPa,1.34,18.5,12.5
MANUAL-CPTU-A01,3.5,2135,kPa,2175,kPa,29.0,kPa,201,kPa,1.33,18.5,12.5
MANUAL-CPTU-A01,4.0,2310,kPa,2354,kPa,31.5,kPa,218,kPa,1.34,18.5,12.5
MANUAL-CPTU-A01,4.5,2488,kPa,2535,kPa,34.0,kPa,235,kPa,1.34,18.5,12.5
MANUAL-CPTU-A01,5.0,2665,kPa,2716,kPa,36.6,kPa,253,kPa,1.35,18.5,12.5
MANUAL-CPTU-A01,5.5,2842,kPa,2896,kPa,39.2,kPa,270,kPa,1.35,18.5,12.5
MANUAL-CPTU-A01,6.0,3010,kPa,3068,kPa,41.7,kPa,288,kPa,1.36,18.5,12.5
MANUAL-CPTU-A01,6.5,3175,kPa,3237,kPa,44.4,kPa,309,kPa,1.37,18.5,12.5
MANUAL-CPTU-A01,7.0,3338,kPa,3404,kPa,47.0,kPa,329,kPa,1.38,18.5,12.5
MANUAL-CPTU-A01,7.5,3505,kPa,3575,kPa,49.8,kPa,350,kPa,1.39,18.5,12.5
MANUAL-CPTU-A01,8.0,3672,kPa,3746,kPa,52.6,kPa,371,kPa,1.40,18.5,12.5
MANUAL-CPTU-A01,8.5,3850,kPa,3928,kPa,55.2,kPa,390,kPa,1.41,18.5,12.5
MANUAL-CPTU-A01,9.0,4035,kPa,4117,kPa,58.0,kPa,410,kPa,1.41,18.5,12.5
MANUAL-CPTU-A01,9.5,4225,kPa,4311,kPa,60.8,kPa,432,kPa,1.41,18.5,12.5
MANUAL-CPTU-A01,10.0,4418,kPa,4508,kPa,63.4,kPa,451,kPa,1.41,18.5,12.5
MANUAL-CPTU-A01,10.5,4615,kPa,4709,kPa,66.0,kPa,470,kPa,1.40,18.5,12.5
MANUAL-CPTU-A01,11.0,4810,kPa,4908,kPa,68.7,kPa,488,kPa,1.40,18.5,12.5
MANUAL-CPTU-A01,11.5,5010,kPa,5112,kPa,71.5,kPa,510,kPa,1.40,18.5,12.5
MANUAL-CPTU-A01,12.0,5215,kPa,5321,kPa,74.3,kPa,529,kPa,1.40,18.5,12.5
MANUAL-CPTU-A01,12.5,5420,kPa,5530,kPa,77.0,kPa,551,kPa,1.39,18.5,12.5
