PointName,DepthM,Qc,QcUnit,Qt,QtUnit,Fs,FsUnit,U2,U2Unit,Fr,WaterDepthM,FinalDepthM
MANUAL-CPTU-B02,0.5,980,kPa,998,kPa,24.5,kPa,90,kPa,2.45,9.8,12.5
MANUAL-CPTU-B02,1.0,1055,kPa,1076,kPa,26.3,kPa,103,kPa,2.44,9.8,12.5
MANUAL-CPTU-B02,1.5,1135,kPa,1159,kPa,28.2,kPa,119,kPa,2.43,9.8,12.5
MANUAL-CPTU-B02,2.0,1220,kPa,1247,kPa,30.0,kPa,134,kPa,2.41,9.8,12.5
MANUAL-CPTU-B02,2.5,1318,kPa,1348,kPa,31.9,kPa,151,kPa,2.37,9.8,12.5
MANUAL-CPTU-B02,3.0,1425,kPa,1458,kPa,33.8,kPa,166,kPa,2.32,9.8,12.5
MANUAL-CPTU-B02,3.5,1540,kPa,1576,kPa,35.5,kPa,181,kPa,2.25,9.8,12.5
MANUAL-CPTU-B02,4.0,1660,kPa,1699,kPa,37.3,kPa,195,kPa,2.20,9.8,12.5
MANUAL-CPTU-B02,4.5,1785,kPa,1827,kPa,39.0,kPa,211,kPa,2.13,9.8,12.5
MANUAL-CPTU-B02,5.0,1915,kPa,1960,kPa,40.8,kPa,226,kPa,2.08,9.8,12.5
MANUAL-CPTU-B02,5.5,2050,kPa,2098,kPa,42.6,kPa,241,kPa,2.03,9.8,12.5
MANUAL-CPTU-B02,6.0,2188,kPa,2239,kPa,44.6,kPa,256,kPa,1.99,9.8,12.5
MANUAL-CPTU-B02,6.5,2330,kPa,2384,kPa,46.8,kPa,271,kPa,1.96,9.8,12.5
MANUAL-CPTU-B02,7.0,2475,kPa,2532,kPa,49.0,kPa,286,kPa,1.94,9.8,12.5
MANUAL-CPTU-B02,7.5,2625,kPa,2685,kPa,51.2,kPa,301,kPa,1.91,9.8,12.5
MANUAL-CPTU-B02,8.0,2780,kPa,2843,kPa,53.5,kPa,316,kPa,1.88,9.8,12.5
MANUAL-CPTU-B02,8.5,2940,kPa,3006,kPa,55.8,kPa,331,kPa,1.86,9.8,12.5
MANUAL-CPTU-B02,9.0,3105,kPa,3174,kPa,58.0,kPa,346,kPa,1.83,9.8,12.5
MANUAL-CPTU-B02,9.5,3275,kPa,3347,kPa,60.2,kPa,361,kPa,1.80,9.8,12.5
MANUAL-CPTU-B02,10.0,3450,kPa,3525,kPa,62.4,kPa,376,kPa,1.77,9.8,12.5
MANUAL-CPTU-B02,10.5,3630,kPa,3708,kPa,64.5,kPa,391,kPa,1.74,9.8,12.5
MANUAL-CPTU-B02,11.0,3812,kPa,3894,kPa,66.6,kPa,408,kPa,1.71,9.8,12.5
MANUAL-CPTU-B02,11.5,3998,kPa,4083,kPa,68.8,kPa,425,kPa,1.68,9.8,12.5
MANUAL-CPTU-B02,12.0,4188,kPa,4276,kPa,71.0,kPa,441,kPa,1.66,9.8,12.5
MANUAL-CPTU-B02,12.5,4380,kPa,4472,kPa,73.0,kPa,459,kPa,1.63,9.8,12.5
